tokenId,name,Quality,Type,Level,CfgId,Feature,Style,Billboard,Visual,Area,GreenhouseAmount,DefenderAttributesBonus,PlantTime,SeedConsumption,WeedProduction,MaxStorage,ClaimableStorage,MaxHP,CurrentHP,FarmState
98,MOBLAND Weed Farm #98,Uncommon,1,1,98,1,1,0,11,6,6,570,41940,252,417,14540,7270,648,648,1
99,MOBLAND Weed Farm #99,Uncommon,1,1,99,1,1,0,11,6,6,590,41880,247,410,14975,7487,669,669,1
100,MOBLAND Weed Farm #100,Epic,1,1,100,1,1,0,31,12,12,1260,43680,257,497,35687,17843,884,884,1
101,MOBLAND Weed Farm #101,Common,1,1,101,1,1,0,1,4,4,300,43260,240,362,10012,5006,618,618,1
102,MOBLAND Weed Farm #102,Uncommon,1,1,102,1,1,0,11,6,6,540,41940,252,387,14502,7251,640,640,1
103,MOBLAND Weed Farm #103,Uncommon,1,1,103,1,1,0,11,6,6,600,42000,250,392,14912,7456,649,649,1
104,MOBLAND Weed Farm #104,Common,1,1,104,1,1,0,1,4,4,300,41040,242,370,10052,5026,615,615,1
105,MOBLAND Weed Farm #105,Uncommon,1,1,105,1,1,0,11,6,6,640,42600,240,385,14337,7168,662,662,1
106,MOBLAND Weed Farm #106,Common,1,1,106,1,1,0,1,4,4,320,42720,245,377,9952,4976,618,618,1
107,MOBLAND Weed Farm #107,Uncommon,1,1,107,1,1,0,11,6,6,550,41340,242,400,14240,7120,664,664,1
108,MOBLAND Weed Farm #108,Rare,1,1,108,1,1,0,21,9,9,950,41880,237,455,23370,11685,773,773,1
109,MOBLAND Weed Farm #109,Common,1,1,109,1,1,0,1,4,4,290,43200,252,355,10047,5023,586,586,1
110,MOBLAND Weed Farm #110,Common,1,1,110,1,1,0,1,4,4,320,42540,242,367,9900,4950,624,624,1
111,MOBLAND Weed Farm #111,Common,1,1,111,1,1,0,1,4,4,280,42660,260,365,9665,4832,588,588,1
112,MOBLAND Weed Farm #112,Common,1,1,112,1,1,0,1,4,4,310,41760,250,370,9520,4760,587,587,1
113,MOBLAND Weed Farm #113,Legendary,1,1,113,1,1,0,41,16,16,1490,44520,245,620,36375,18187,1048,1048,1
114,MOBLAND Weed Farm #114,Common,1,1,114,1,1,0,1,4,4,320,42720,250,360,9362,4681,625,625,1
115,MOBLAND Weed Farm #115,Uncommon,1,1,115,1,1,0,11,6,6,590,44280,260,397,14737,7368,661,661,1
116,MOBLAND Weed Farm #116,Legendary,1,1,116,1,1,0,41,16,16,1590,41640,245,627,38582,19291,1040,1040,1
117,MOBLAND Weed Farm #117,Common,1,1,117,1,1,0,1,4,4,280,43920,237,350,9952,4976,587,587,1
118,MOBLAND Weed Farm #118,Common,1,1,118,1,1,0,1,4,4,300,43260,245,370,9292,4646,604,604,1
119,MOBLAND Weed Farm #119,Rare,1,1,119,1,1,0,21,9,9,830,41280,245,427,24430,12215,739,739,1
120,MOBLAND Weed Farm #120,Rare,1,1,120,1,1,0,21,9,9,890,44940,240,450,24062,12031,726,726,1
121,MOBLAND Weed Farm #121,Uncommon,1,1,121,1,1,0,11,6,6,580,45300,240,397,14290,7145,659,659,1
122,MOBLAND Weed Farm #122,Epic,1,1,122,1,1,0,31,12,12,1140,42780,257,512,38350,19175,888,888,1
123,MOBLAND Weed Farm #123,Epic,1,1,123,1,1,0,31,12,12,1300,44340,237,532,36607,18303,933,933,1
124,MOBLAND Weed Farm #124,Legendary,1,1,124,1,1,0,41,16,16,1640,44880,247,600,35500,17750,1085,1085,1
125,MOBLAND Weed Farm #125,Rare,1,1,125,1,1,0,21,9,9,830,44940,240,420,23047,11523,745,745,1
126,MOBLAND Weed Farm #126,Common,1,1,126,1,1,0,1,4,4,280,43380,237,352,9670,4835,598,598,1
127,MOBLAND Weed Farm #127,Uncommon,1,1,127,1,1,0,11,6,6,610,41640,247,405,14745,7372,663,663,1
128,MOBLAND Weed Farm #128,Rare,1,1,128,1,1,0,21,9,9,860,41100,242,427,24785,12392,766,766,1
129,MOBLAND Weed Farm #129,Uncommon,1,1,129,1,1,0,11,6,6,650,43680,237,410,14467,7233,650,650,1
130,MOBLAND Weed Farm #130,Common,1,1,130,1,1,0,1,4,4,300,44340,242,347,9497,4748,588,588,1
131,MOBLAND Weed Farm #131,Common,1,1,131,1,1,0,1,4,4,320,43380,260,352,9537,4768,594,594,1
132,MOBLAND Weed Farm #132,Common,1,1,132,1,1,0,1,4,4,290,41640,260,367,9680,4840,624,624,1
133,MOBLAND Weed Farm #133,Uncommon,1,1,133,1,1,0,11,6,6,600,44700,250,402,14727,7363,684,684,1
134,MOBLAND Weed Farm #134,Common,1,1,134,1,1,0,1,4,4,310,41040,260,370,9685,4842,623,623,1
135,MOBLAND Weed Farm #135,Uncommon,1,1,135,1,1,0,11,6,6,580,43080,237,380,14217,7108,650,650,1
136,MOBLAND Weed Farm #136,Common,1,1,136,1,1,0,1,4,4,290,44340,257,357,9250,4625,614,614,1
137,MOBLAND Weed Farm #137,Common,1,1,137,1,1,0,1,4,4,280,45180,247,350,9985,4992,590,590,1
138,MOBLAND Weed Farm #138,Rare,1,1,138,1,1,0,21,9,9,900,44400,257,450,23800,11900,758,758,1
139,MOBLAND Weed Farm #139,Common,1,1,139,1,1,0,1,4,4,320,43920,245,357,9997,4998,577,577,1
140,MOBLAND Weed Farm #140,Common,1,1,140,1,1,0,1,4,4,280,45120,247,370,9282,4641,606,606,1
141,MOBLAND Weed Farm #141,Uncommon,1,1,141,1,1,0,11,6,6,610,41940,252,380,14100,7050,640,640,1
142,MOBLAND Weed Farm #142,Epic,1,1,142,1,1,0,31,12,12,1240,44160,242,530,36250,18125,877,877,1
143,MOBLAND Weed Farm #143,Common,1,1,143,1,1,0,1,4,4,280,43200,242,357,9562,4781,579,579,1
144,MOBLAND Weed Farm #144,Common,1,1,144,1,1,0,1,4,4,290,44100,257,352,9507,4753,576,576,1
145,MOBLAND Weed Farm #145,Common,1,1,145,1,1,0,1,4,4,320,41760,252,370,9165,4582,589,589,1
146,MOBLAND Weed Farm #146,Uncommon,1,1,146,1,1,0,11,6,6,560,41460,240,405,14020,7010,672,672,1
147,MOBLAND Weed Farm #147,Common,1,1,147,1,1,0,1,4,4,320,42900,257,362,9965,4982,606,606,1
148,MOBLAND Weed Farm #148,Common,1,1,148,1,1,0,1,4,4,270,41400,237,365,9437,4718,603,603,1
149,MOBLAND Weed Farm #149,Uncommon,1,1,149,1,1,0,11,6,6,560,42420,257,387,14760,7380,631,631,1
150,MOBLAND Weed Farm #150,Common,1,1,150,1,1,0,1,4,4,270,43920,247,365,9462,4731,606,606,1
151,MOBLAND Weed Farm #151,Common,1,1,151,1,1,0,1,4,4,290,42840,240,380,9145,4572,581,581,1
152,MOBLAND Weed Farm #152,Common,1,1,152,1,1,0,1,4,4,290,43620,242,365,9325,4662,585,585,1
153,MOBLAND Weed Farm #153,Common,1,1,153,1,1,0,1,4,4,300,45000,257,375,9215,4607,588,588,1
154,MOBLAND Weed Farm #154,Common,1,1,154,1,1,0,1,4,4,300,42120,242,372,10010,5005,595,595,1
155,MOBLAND Weed Farm #155,Uncommon,1,1,155,1,1,0,11,6,6,630,43860,245,385,14190,7095,691,691,1
156,MOBLAND Weed Farm #156,Uncommon,1,1,156,1,1,0,11,6,6,540,41040,255,417,14030,7015,660,660,1
157,MOBLAND Weed Farm #157,Rare,1,1,157,1,1,0,21,9,9,820,44940,240,457,24470,12235,769,769,1
158,MOBLAND Weed Farm #158,Epic,1,1,158,1,1,0,31,12,12,1150,43020,257,525,35770,17885,905,905,1
159,MOBLAND Weed Farm #159,Epic,1,1,159,1,1,0,31,12,12,1120,42600,257,525,36165,18082,897,897,1
160,MOBLAND Weed Farm #160,Common,1,1,160,1,1,0,1,4,4,310,45060,257,362,9617,4808,597,597,1
161,MOBLAND Weed Farm #161,Uncommon,1,1,161,1,1,0,11,6,6,640,42840,237,417,13802,6901,648,648,1
162,MOBLAND Weed Farm #162,Epic,1,1,162,1,1,0,31,12,12,1210,41640,237,507,37002,18501,903,903,1
163,MOBLAND Weed Farm #163,Common,1,1,163,1,1,0,1,4,4,320,43080,257,370,10020,5010,604,604,1
164,MOBLAND Weed Farm #164,Common,1,1,164,1,1,0,1,4,4,280,44760,252,365,9355,4677,583,583,1
165,MOBLAND Weed Farm #165,Common,1,1,165,1,1,0,1,4,4,320,44280,245,357,9802,4901,619,619,1
166,MOBLAND Weed Farm #166,Common,1,1,166,1,1,0,1,4,4,300,45240,247,345,9282,4641,612,612,1
167,MOBLAND Weed Farm #167,Common,1,1,167,1,1,0,1,4,4,290,41580,245,375,9217,4608,580,580,1
168,MOBLAND Weed Farm #168,Rare,1,1,168,1,1,0,21,9,9,890,44640,252,435,24125,12062,753,753,1
169,MOBLAND Weed Farm #169,Common,1,1,169,1,1,0,1,4,4,300,44400,250,345,9660,4830,589,589,1
170,MOBLAND Weed Farm #170,Uncommon,1,1,170,1,1,0,11,6,6,540,43740,260,380,14167,7083,642,642,1
171,MOBLAND Weed Farm #171,Common,1,1,171,1,1,0,1,4,4,290,43800,237,355,9755,4877,601,601,1
172,MOBLAND Weed Farm #172,Common,1,1,172,1,1,0,1,4,4,290,42180,255,377,9137,4568,572,572,1
173,MOBLAND Weed Farm #173,Common,1,1,173,1,1,0,1,4,4,310,41640,237,347,9380,4690,602,602,1
174,MOBLAND Weed Farm #174,Uncommon,1,1,174,1,1,0,11,6,6,650,41100,247,395,14022,7011,688,688,1
175,MOBLAND Weed Farm #175,Common,1,1,175,1,1,0,1,4,4,270,43260,242,377,9695,4847,616,616,1
176,MOBLAND Weed Farm #176,Common,1,1,176,1,1,0,1,4,4,270,42360,252,370,9577,4788,617,617,1
177,MOBLAND Weed Farm #177,Epic,1,1,177,1,1,0,31,12,12,1110,44040,242,532,36940,18470,926,926,1
178,MOBLAND Weed Farm #178,Common,1,1,178,1,1,0,1,4,4,270,41040,250,357,9442,4721,622,622,1
179,MOBLAND Weed Farm #179,Common,1,1,179,1,1,0,1,4,4,310,41580,242,352,9772,4886,623,623,1
180,MOBLAND Weed Farm #180,Common,1,1,180,1,1,0,1,4,4,290,42180,245,362,9735,4867,570,570,1
181,MOBLAND Weed Farm #181,Common,1,1,181,1,1,0,1,4,4,320,43860,260,352,9297,4648,594,594,1
182,MOBLAND Weed Farm #182,Uncommon,1,1,182,1,1,0,11,6,6,650,41940,252,405,14370,7185,668,668,1
183,MOBLAND Weed Farm #183,Common,1,1,183,1,1,0,1,4,4,270,42060,260,360,9857,4928,614,614,1
184,MOBLAND Weed Farm #184,Common,1,1,184,1,1,0,1,4,4,290,42660,250,377,10015,5007,601,601,1
185,MOBLAND Weed Farm #185,Epic,1,1,185,1,1,0,31,12,12,1280,44520,260,517,38180,19090,912,912,1
186,MOBLAND Weed Farm #186,Common,1,1,186,1,1,0,1,4,4,290,42360,257,372,9570,4785,592,592,1
187,MOBLAND Weed Farm #187,Common,1,1,187,1,1,0,1,4,4,290,42000,257,362,9675,4837,585,585,1
188,MOBLAND Weed Farm #188,Common,1,1,188,1,1,0,1,4,4,310,41100,247,347,9840,4920,578,578,1
189,MOBLAND Weed Farm #189,Common,1,1,189,1,1,0,1,4,4,300,45000,237,362,9257,4628,625,625,1
190,MOBLAND Weed Farm #190,Common,1,1,190,1,1,0,1,4,4,320,44640,237,370,9427,4713,601,601,1
191,MOBLAND Weed Farm #191,Common,1,1,191,1,1,0,1,4,4,310,44280,237,347,10062,5031,625,625,1
192,MOBLAND Weed Farm #192,Legendary,1,1,192,1,1,0,41,16,16,1350,45120,250,630,35827,17913,1113,1113,1
193,MOBLAND Weed Farm #193,Epic,1,1,193,1,1,0,31,12,12,1220,42120,260,532,36842,18421,863,863,1
194,MOBLAND Weed Farm #194,Common,1,1,194,1,1,0,1,4,4,280,42240,255,372,9242,4621,581,581,1
195,MOBLAND Weed Farm #195,Rare,1,1,195,1,1,0,21,9,9,830,44940,242,427,23067,11533,723,723,1
196,MOBLAND Weed Farm #196,Common,1,1,196,1,1,0,1,4,4,280,43920,240,360,9600,4800,577,577,1
197,MOBLAND Weed Farm #197,Legendary,1,1,197,1,1,0,41,16,16,1470,43380,255,585,38497,19248,1099,1099,1
198,MOBLAND Weed Farm #198,Rare,1,1,198,1,1,0,21,9,9,950,43560,255,460,22832,11416,719,719,1
199,MOBLAND Weed Farm #199,Common,1,1,199,1,1,0,1,4,4,310,43020,240,375,9935,4967,582,582,1
200,MOBLAND Weed Farm #200,Common,1,1,200,1,1,0,1,4,4,270,45300,250,357,9425,4712,572,572,1
201,MOBLAND Weed Farm #201,Uncommon,1,1,201,1,1,0,11,6,6,610,43800,255,407,15025,7512,645,645,1
202,MOBLAND Weed Farm #202,Common,1,1,202,1,1,0,1,4,4,300,42840,255,350,9782,4891,579,579,1
203,MOBLAND Weed Farm #203,Uncommon,1,1,203,1,1,0,11,6,6,550,44580,255,382,14817,7408,687,687,1
204,MOBLAND Weed Farm #204,Common,1,1,204,1,1,0,1,4,4,310,44400,250,360,9957,4978,596,596,1
205,MOBLAND Weed Farm #205,Common,1,1,205,1,1,0,1,4,4,310,45120,257,355,9652,4826,573,573,1
206,MOBLAND Weed Farm #206,Common,1,1,206,1,1,0,1,4,4,320,42240,252,345,9610,4805,617,617,1
207,MOBLAND Weed Farm #207,Common,1,1,207,1,1,0,1,4,4,320,41520,250,355,10010,5005,626,626,1
208,MOBLAND Weed Farm #208,Common,1,1,208,1,1,0,1,4,4,310,44700,245,360,10045,5022,582,582,1
209,MOBLAND Weed Farm #209,Uncommon,1,1,209,1,1,0,11,6,6,590,43080,250,417,13980,6990,643,643,1
210,MOBLAND Weed Farm #210,Legendary,1,1,210,1,1,0,41,16,16,1440,42360,240,620,36785,18392,1122,1122,1
211,MOBLAND Weed Farm #211,Uncommon,1,1,211,1,1,0,11,6,6,610,44760,245,417,14342,7171,684,684,1
212,MOBLAND Weed Farm #212,Common,1,1,212,1,1,0,1,4,4,280,42780,255,365,9202,4601,576,576,1
213,MOBLAND Weed Farm #213,Rare,1,1,213,1,1,0,21,9,9,870,43800,250,430,24125,12062,721,721,1
214,MOBLAND Weed Farm #214,Common,1,1,214,1,1,0,1,4,4,320,41580,245,360,9720,4860,590,590,1
215,MOBLAND Weed Farm #215,Common,1,1,215,1,1,0,1,4,4,310,43380,240,365,10057,5028,570,570,1
216,MOBLAND Weed Farm #216,Common,1,1,216,1,1,0,1,4,4,300,44880,247,345,9297,4648,582,582,1
217,MOBLAND Weed Farm #217,Epic,1,1,217,1,1,0,31,12,12,1280,44940,247,522,36392,18196,910,910,1
218,MOBLAND Weed Farm #218,Rare,1,1,218,1,1,0,21,9,9,890,42060,247,435,22865,11432,784,784,1
219,MOBLAND Weed Farm #219,Common,1,1,219,1,1,0,1,4,4,270,41340,257,347,9960,4980,595,595,1
220,MOBLAND Weed Farm #220,Common,1,1,220,1,1,0,1,4,4,270,43560,237,347,9370,4685,623,623,1
221,MOBLAND Weed Farm #221,Common,1,1,221,1,1,0,1,4,4,300,42120,255,367,9535,4767,576,576,1
222,MOBLAND Weed Farm #222,Common,1,1,222,1,1,0,1,4,4,270,44340,260,362,9752,4876,570,570,1
223,MOBLAND Weed Farm #223,Rare,1,1,223,1,1,0,21,9,9,830,42960,250,455,24982,12491,733,733,1
224,MOBLAND Weed Farm #224,Common,1,1,224,1,1,0,1,4,4,290,42120,250,345,9615,4807,588,588,1
225,MOBLAND Weed Farm #225,Rare,1,1,225,1,1,0,21,9,9,980,44940,260,450,24382,12191,714,714,1
226,MOBLAND Weed Farm #226,Uncommon,1,1,226,1,1,0,11,6,6,590,44580,250,380,14080,7040,685,685,1
227,MOBLAND Weed Farm #227,Common,1,1,227,1,1,0,1,4,4,280,45060,240,355,9135,4567,582,582,1
228,MOBLAND Weed Farm #228,Common,1,1,228,1,1,0,1,4,4,280,43620,252,357,9742,4871,589,589,1
